Tisch,table
Stuhl,chair
Bett,bed
Tür,door
Auto,car
Meer,sea
Haus,house
Blitz,lightning
Donner,thunder
Dunst,mist
Eis,ice
Frost,frost
Gewitter,thunderstorm
Hitze,heat
Orkan,hurricane
Nebel,fog
Regen,rain
Schauer,shower
Schnee,snow
Schneesturm,blizzard
Sonne,sun
Sturm,storm
Tornado,twister 
Trockenheit,drought
Wind,wind
Wolke,cloud
dunstig,misty
eisig,icy
frisch/kühl,chilly
vereist,frosty
heiß,hot
kalt,cold
klar,clear
kühl,cool
nass,wet
neblig,foggy
regnerisch,rainy
schneebedeckt,snowy
sonnig,sunny
stürmisch,stormy
trocken,dry
warm,warm
windig,windy
wolkig,cloudy
gefrieren,freeze
schmelzen,melt
tauen,thaw
Fakt,fact
Buch,book
Student,student
Problem,problem
Schule,school
Land,country
Leute,people
Teil,part
Ding,thing
Punkt,point
Geld,money
Kind,child
System,system
Auge,eye
Recht,right
Zahl,number
Leben,life
Zeit,time
Weg,way
Man,man
Monat,month
Fläche,area
Staat,state
Program,program
Geschäft,business
Gruppe,group
Raum,room
Wasser,water
Mutter,mother
Woche,week
Familie,family
Ort,place
Nacht,night
Zuhause,home
Studie,study
Regierung,government
Jahr,year
Tag,day
Frage,question
Geschichte,story
Beruf,job
Herr,Mr
Firma,company
Frau,woman
Wort,word
Arbeit,work
Welt,world
Hand,hand
Fall,case
könnte,could
kommen,come
bewegen,move
können,can
meinen,mean
gehen,go
nehmen,take
sagen,say
bekommen,get
werden,will
geben,give
sehen,look
versuchen,try
sein,be
wissen,know
benutzen,use
spielen,play
rennen,run
stellen,put
drehen,turn
reden,talk
brauchen,need
fragen,ask
werden,become
scheinen,seem
fühlen,feel
(an)rufen,call
sehen,see
lassen,let
machen,make
hören,hear
denken,think
zeigen,show
erzählen,tell
mögen,like
können,might
machen,do
arbeiten,work
wollen,want
starten,start
verlassen,leave
dürfen,may
behalten,keep
sollen,should
beginnen,begin
helfen,help
finden,find
haben,have
leben,live
einfach,easy
niedrig,low
sozial,social
spät,late
möglich,possible
jung,young
hoch,high
ganz,whole
lang,long
neu,new
hart,hard
groß,large
klein,small
klar,clear
schwarz,black
militärisch,military
schlecht,bad
voll,full
am besten,best
wesentlich,major
fähig,able
politisch,political
großartig,great
gut,good
anders,different
bestimmt,certain
öffentlich,public
wenig,little
früh,early
föderalistisch,federal
wahr, echt,TRUE
besser,better
groß,big
sicher,sure
frei,free
alt,old
menschlich,human
weiß,white
real,real
wichtig,important
stark,strong
speziell,special
richtig,right
lokal,local
ökonomisch,economic
kürzlich,recent
